"last_name, first_name","player_id","year","pa","hit","single","double","triple","home_run","k_percent","bb_percent","on_base_plus_slg","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","groundballs_percent","flyballs_percent"
"Semien, Marcus","543760","2020","236","47","30","9","1","7",21.2,10.6,"0.679","86.2",32.9,5,6.8,28.6,"96.361638375","92.211459874",23.3,44.1,32.9,32.3
"Springer III, George","543807","2020","222","50","28","6","2","14",17.1,10.8,"0.899","88.7",35.3,12.4,5.9,42.5,"101.012866184","94.708160132",25.3,47.7,35.9,26.1
"Vázquez, Christian","543877","2020","189","49","33","9","0","7",22.8,8.5,"0.801","88.4",33.1,4.6,6.2,40,"98.429126154","93.35878876",22.9,47.6,41.5,27.7
"Wong, Kolten","543939","2020","208","48","41","4","2","1",14.4,9.6,"0.676","86.5",31.2,0.6,3.2,26.6,"95.584306892","91.793051554",15.8,43.9,51.9,14.9
"Gregorius, Didi","544369","2020","237","61","39","10","2","10",11.8,6.3,"0.827","83.8",35.3,4.2,6.8,27.9,"96.139141064","92.158376631",18.8,53.5,38.4,22.6
"Grichuk, Randal","545341","2020","231","59","38","9","0","12",21.2,5.6,"0.793","88.9",27.2,11.2,6.5,39.6,"100.547348929","94.472173234",23.1,51.7,42.6,23.7
"Trout, Mike","545361","2020","241","56","28","9","2","17",23.2,14.5,"0.993","93.7",36.1,15,8.2,55.1,"103.522413333","96.756365347",19.5,36.7,25.9,38.8
"Ruiz, Rio","547004","2020","204","41","21","11","0","9",22.5,8.3,"0.713","87.9",27.7,8.5,6.4,39,"99.181741429","93.707106906",27.3,52,47.5,20.6
"Harper, Bryce","547180","2020","244","51","27","9","2","13",17.6,20.1,"0.962","92.5",33.3,17.3,4,50.7,"104.136840278","96.785819375",28.6,45.9,40,33.3
"Abreu, José","547989","2020","262","76","42","15","0","19",22.5,6.9,"0.987","92.9",37.4,14.3,9.3,53.3,"104.315308571","96.898123022",30.1,48.5,45.1,24.2
"Suárez, Eugenio","553993","2020","231","40","17","8","0","15",29,13,"0.782","89.1",29.5,14.4,5.3,44.7,"101.191154545","94.886730076",31.7,41.7,36.4,37.1
"González, Erik","570481","2020","193","41","24","13","1","3",26.4,4.1,"0.614","88.5",33.6,6.7,8.2,44,"100.617211515","94.399348561",32,53.4,47.8,17.2
"Arenado, Nolan","571448","2020","201","46","29","9","0","8",10,7.5,"0.737","87.8",27.1,5.4,4.2,33.7,"98.207786506","93.152140723",17.9,48.1,36.7,25.9
"Muncy, Max","571970","2020","248","39","23","4","0","12",24.2,15.7,"0.720","88.5",29,12.4,8.3,40,"99.706862329","94.042931517",26.8,36.6,44.8,33.1
"Myers, Wil","571976","2020","218","57","26","14","2","15",25.7,8.3,"0.959","91",40.8,14.8,8.5,45.8,"101.631815571","95.352673957",25.9,42.6,38.7,30.3
"Pollock, AJ","572041","2020","210","54","29","9","0","16",21.4,5.7,"0.880","89.6",37.9,10.5,7.8,43.1,"100.207984474","94.434710861",24.4,47.7,39.2,28.8
