"last_name, first_name","player_id","year","pa","hit","single","double","triple","home_run","k_percent","bb_percent","on_base_plus_slg","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","groundballs_percent","flyballs_percent"
"Lowrie, Jed","476704","2021","512","112","70","28","0","14",21.1,9.6,"0.716","90.7",36.5,9.3,9.6,45.9,"100.200115198","94.60925779",24.2,46.7,36.8,32.6
"Brantley Jr., Michael","488726","2021","508","146","106","29","3","8",10.4,6.5,"0.799","89.5",38.8,5.8,6.2,42.9,"99.686219375","94.187918365",10.9,45.6,46.8,20.6
"Gurriel, Yuli","493329","2021","605","169","123","31","0","15",11.2,9.8,"0.845","89.8",31,3.4,5.5,42,"99.889790127","94.187271203",13.9,42.8,41.6,24.3
"Rojas, Miguel","500743","2021","539","131","89","30","3","9",13.7,6.9,"0.714","86.2",32.4,2.8,4.7,32.9,"96.919576095","92.460967976",19.3,45.7,45.6,22
"Escobar, Eduardo","500871","2021","599","139","80","26","5","28",20.7,8,"0.786","87",38,8.9,6.1,34.5,"98.233403679","93.168115165",23.9,49.5,33.3,33.3
"Pham, Tommy","502054","2021","561","109","68","24","2","15",22.8,13.9,"0.723","90.8",35.6,10,8.8,47.6,"101.782107886","95.261546371",23.6,38.2,49.6,21.4
"Martinez, J.D.","502110","2021","634","163","90","42","3","28",23.7,8.7,"0.867","92.1",41.2,12.5,10.8,49.4,"102.421753991","95.887919576",29.2,54.2,34.1,31.5
"Goldschmidt, Paul","502671","2021","679","177","108","36","2","31",20,9.9,"0.879","92.6",36.9,13.6,8.3,50.6,"102.744108602","96.119572675",24.9,44.2,37.3,31.1
"Altuve, Jose","514888","2021","678","167","103","32","1","31",13.4,9.7,"0.839","87.7",32.1,6.4,6.2,35,"98.384760909","93.261160455",15.9,47.4,41,24.6
"Hernández, César","514917","2021","637","132","88","21","2","21",21.2,9.3,"0.694","87.4",32.6,6.8,5,33.2,"98.368510187","93.237272693",22,47.1,47.3,25.1
"Segura, Jean","516416","2021","567","149","105","27","3","14",13.8,6.9,"0.784","87.2",31.1,5.9,5.4,37.4,"99.697739358","93.921203784",17.1,48.7,52.4,19
"Marte, Starling","516782","2021","526","145","103","27","3","12",18.8,8.2,"0.841","87.6",32.6,8.4,4.3,39.6,"100.239516776","94.207705479",24.4,49.5,56.3,16.7
"Donaldson, Josh","518626","2021","543","113","61","26","0","26",21,13.6,"0.827","94.1",30.2,17.4,4.8,52.7,"104.204804343","97.023133829",27.6,45.2,43.9,28.5
"Freeman, Freddie","518692","2021","695","180","122","25","2","31",15.4,12.2,"0.896","91.4",37.2,11.5,7.1,46.1,"101.764448826","95.351215951",21,51.2,43.2,28.9
"LeMahieu, DJ","518934","2021","679","160","125","24","1","10",13.8,10.8,"0.711","90.6",33.3,3.7,6.9,43.5,"100.113305573","94.512956356",14.4,41.4,52,18.3
"Rizzo, Anthony","519203","2021","576","123","75","23","3","22",15.1,9,"0.784","90.1",31.4,7.7,5.6,41.1,"100.696655631","94.60294966",20.8,46.5,41.3,27.1
"Stanton, Giancarlo","519317","2021","579","139","85","19","0","35",27.1,10.9,"0.870","95.1",32.6,15.7,11,56.3,"108.657830625","99.263673807",32.6,44.2,45.5,23
"Perez, Salvador","521692","2021","665","169","97","24","0","48",25.6,4.2,"0.860","93",34.1,16.3,8.6,56.2,"104.087645903","97.05981185",33.7,58.9,37.4,33
"García, Avisaíl","541645","2021","515","121","74","18","0","29",23.5,7.4,"0.820","90.4",35.9,12.2,7,46.4,"102.661785607","95.672483217",33.7,58.1,48.4,26.1
"Villar, Jonathan","542340","2021","505","113","75","18","2","18",26.1,9.1,"0.738","88",29.9,7.4,5.6,34.9,"99.828691447","93.930594182",30.1,49.9,49.1,23.5
"Aguilar, Jesús","542583","2021","510","117","72","23","0","22",18.2,9,"0.788","89.6",34.7,8.5,5.5,41,"100.000025495","94.305900248",25.9,44.8,33.3,31.7
"Crawford, Brandon","543063","2021","549","144","87","30","3","24",19.1,10.2,"0.895","88.8",35.8,11.5,8.4,43.3,"99.818696492","94.078049948",29.3,51.7,40.5,28.7
"Cron, C.J.","543068","2021","547","132","72","31","1","28",21.4,11,"0.905","88.8",31.9,11.5,5,42,"101.733108492","94.934202465",27.4,47.1,38.7,32.5
"Grossman, Robbie","543257","2021","671","133","84","23","3","23",23.1,14.6,"0.772","87.8",39.5,7.6,8.3,34.1,"97.650887745","92.935303661",21.6,38.4,30,35.9
"Harrison, Josh","543281","2021","558","141","98","33","2","8",13.4,5.6,"0.741","87.2",39.5,4.4,7.4,32.6,"97.20370125","92.65377125",18.8,55.4,40.2,27.3
"Hosmer, Eric","543333","2021","565","137","97","28","0","12",17.5,8.5,"0.732","90.5",26.6,5.8,6.1,47,"102.446751471","95.653349314",22.9,48.3,56.2,14.8
"Semien, Marcus","543760","2021","724","173","87","39","2","45",20.2,9.1,"0.872","89.7",35.2,9.8,8.3,41.3,"99.347364664","93.999108178",21.5,45.1,31,36.7
"Grichuk, Randal","545341","2021","545","123","75","25","1","22",20.9,5,"0.704","89.8",30.4,8.5,6.2,41.1,"101.265902714","94.873053501",23.2,52.3,39.7,29.4
"Harper, Bryce","547180","2021","599","151","73","42","1","35",22.4,16.7,"1.044","92.5",38.9,18.1,8.3,49.7,"104.095508409","96.641756068",31.9,47.5,41.9,26.4
"Abreu, José","547989","2021","659","148","86","30","2","30",21.7,9.3,"0.832","92",31.2,10.2,9.2,49.3,"102.892077685","95.964420464",27.7,48.4,47.3,25.6
"Suárez, Eugenio","553993","2021","574","100","46","23","0","31",29.8,9.8,"0.714","89.1",33,15,3.8,39.8,"100.26923","94.340085339",29.5,42.7,36.3,35.7
"Schoop, Jonathan","570731","2021","674","173","120","30","1","22",19.7,5.5,"0.755","88.1",30.1,6.8,4.4,40.2,"101.189261968","94.661372435",24.7,52.5,48.4,20.3
"Arenado, Nolan","571448","2021","653","151","80","34","3","34",14.7,7.7,"0.806","89",34.1,6.7,6.9,37.5,"98.719642976","93.570965437",18.5,46.8,31.3,32.7
"Farmer, Kyle","571657","2021","529","127","87","22","2","16",18.3,4.2,"0.732","87.2",36,4.3,5.9,31.9,"97.545416308","92.888295077",20,49.9,40.8,25.5
"Haniger, Mitch","571745","2021","691","157","93","23","2","39",24.5,7.8,"0.803","89.3",33.6,12.6,6.5,45.1,"100.90811287","94.762439739",29.8,46.6,43.1,29.2
"Hernández, Enrique","571771","2021","585","127","69","35","3","20",18.8,10.4,"0.786","90.8",36.5,8.4,9.1,43.2,"99.999080443","94.357513827",23.5,44.6,33.6,32.6
"Muncy, Max","571970","2021","592","124","60","26","2","36",20.3,14,"0.895","91.2",34.9,16.1,8.2,46.6,"102.0590325","95.545324574",23.4,37.6,38.6,33.1
"Seager, Kyle","572122","2021","670","128","63","29","1","35",24,8.8,"0.723","89",35.7,12.3,7.8,40.1,"99.68216","94.062280564",29.6,49.6,33.4,37.7
"Taylor, Michael A.","572191","2021","528","118","89","16","1","12",27.3,6.3,"0.653","89.4",30.6,6.6,4.6,40.2,"100.404271228","94.393365396",30.9,51.9,46.2,27.5
"Yastrzemski, Mike","573262","2021","532","105","49","28","3","25",24.6,9.6,"0.768","89.5",33.1,10.3,7.6,39.3,"99.157264671","93.794353174",24.2,45.9,34.3,35.8
"Iglesias, Jose","578428","2021","511","131","93","27","2","9",14.7,4.1,"0.700","85.4",35.5,3.4,2.9,28.6,"96.57281701","92.297143784",18.9,55,42.1,22
"Bryant, Kris","592178","2021","586","136","77","32","2","25",23,10.6,"0.834","88.2",37.1,10.3,6.1,40,"99.222537","93.821051447",28,48.7,37.9,29.5
"Canha, Mark","592192","2021","625","120","77","22","4","17",20.5,12.3,"0.745","87.3",36.1,7.1,5.9,35.4,"97.938321269","93.004303181",21.5,40.5,42.2,24.4
"Castellanos, Nick","592206","2021","585","164","91","38","1","34",20.7,7,"0.938","89.8",44,10.6,11.5,46.9,"101.478243413","95.160421779",30.6,55,38,29.1
"Judge, Aaron","592450","2021","633","158","95","24","0","39",25,11.8,"0.917","95.8",38.5,17.6,9.1,58.4,"107.090197563","98.864780584",29.1,42.5,42.1,28
"Machado, Manny","592518","2021","640","157","96","31","2","28",15.9,9.8,"0.836","93.1",33.8,13.3,7,52.2,"104.861270593","97.161278811",23,48,39.5,25.4
"Realmuto, J.T.","592663","2021","537","125","79","25","4","17",24,8.9,"0.782","89.6",31.2,8.6,6,44.7,"101.300227486","94.997809341",27,49.5,46.7,24.4
"Renfroe, Hunter","592669","2021","572","135","71","33","0","31",22.7,7.7,"0.816","90.1",32.7,14.4,6.3,44.3,"102.674148889","95.514085899",25.9,48.2,38.5,27
"Merrifield, Whit","593160","2021","720","184","129","42","3","10",14.3,5.6,"0.712","86.9",40,3.5,7.2,28.8,"96.198273099","92.10313669",18.1,50,41.7,25.8
"Bogaerts, Xander","593428","2021","603","156","98","34","1","23",18.7,10.3,"0.863","89.6",36.4,9.7,5.9,43,"100.949849336","94.630657583",22,45.7,40.2,23.9
"Polanco, Jorge","593871","2021","644","158","88","35","2","33",18.3,7,"0.826","89.4",36.1,10.1,5.9,37.4,"99.644968803","94.059153897",19.7,49.5,33,32.8
"Sanó, Miguel","593934","2021","532","105","51","24","0","30",34.4,11.1,"0.778","93.4",32.3,17.7,5.2,55.9,"105.463960417","97.768462404",38.2,44.6,39.2,29.9
"Duvall, Adam","594807","2021","555","117","60","17","2","38",31.4,6.3,"0.772","89.8",33.3,16.1,5,43.9,"101.576989532","95.059923684",29.3,50,30.7,40.1
"Báez, Javier","595879","2021","547","133","82","18","2","31",33.6,5.1,"0.813","90.1",32.7,13.4,7.2,45.2,"102.100878994","95.40051456",40.5,56.9,46.7,24.9
"Lindor, Francisco","596019","2021","524","104","65","16","3","20",18.3,11.1,"0.734","90.7",35.6,8.2,7.7,44.1,"100.654597006","94.782827712",23.2,47.4,41.6,29.9
"Story, Trevor","596115","2021","595","132","69","34","5","24",23.4,8.9,"0.800","90.6",34.2,9.9,6.6,42.6,"100.826442959","94.729589592",27.4,50.8,36.5,30.9
"Candelario, Jeimer","600869","2021","626","151","90","42","3","16",21.6,10.4,"0.794","88.7",38.6,9,6.6,39.1,"99.820428626","94.030826508",23.4,47.6,40.8,25.6
"Bell, Josh","605137","2021","568","130","78","24","1","27",17.8,11.4,"0.823","92.5",28.5,8.8,6.8,52,"103.31235455","96.348443033",24.1,46.7,54.3,21.3
"Betts, Mookie","605141","2021","550","123","68","29","3","23",15.6,12.4,"0.854","90.3",34,7.8,7.5,41,"99.139157135","94.102277154",16.8,40.4,34.8,33
"Tapia, Raimel","606132","2021","533","133","99","26","2","6",13.1,7.5,"0.699","85.7",19.9,2.1,1.4,31.5,"96.953380048","92.476739258",14.7,51.2,68,12.3
"Hernández, Teoscar","606192","2021","595","163","102","29","0","32",24.9,6.1,"0.870","91.8",37.4,13.9,7.7,49,"103.3032702","96.169584775",31.8,51.8,39.4,27.5
"Turner, Trea","607208","2021","646","195","130","34","3","28",17,6.3,"0.911","89.6",34.6,7.4,5.3,46.2,"101.311622295","94.938968542",23,49.2,45.6,23.5
"Ramírez, José","608070","2021","636","147","74","32","5","36",13.7,11.3,"0.893","90",33.4,11.1,4.9,42.4,"100.831039528","94.777982232",14.9,43,36.2,27
"Gallo, Joey","608336","2021","616","99","47","13","1","38",34.6,18,"0.809","91.5",29.4,18.5,3.8,45.8,"103.455349562","96.100400474",38.8,40.4,36.4,35.7
"Swanson, Dansby","621020","2021","653","146","84","33","2","27",25.6,8,"0.760","89.3",36.8,11.4,6.1,42.7,"99.888272056","94.152698735",30.4,48.1,40.1,28.9
"Newman, Kevin","621028","2021","554","117","87","22","3","5",7.4,4.9,"0.574","85.3",32,1.6,3.5,26,"95.837500212","91.93298839",11.8,44.9,45.8,21.4
"Taylor, Chris","621035","2021","582","129","80","25","4","20",28.7,10.8,"0.782","88.2",38.1,10.2,6.4,38.1,"99.754756176","93.990311298",32.7,45.6,36.9,32.3
"Correa, Carlos","621043","2021","640","155","94","34","1","26",18.1,11.7,"0.851","90.2",33.5,9.4,7.4,42.7,"101.559240852","95.042767326",20.9,42.1,42.5,23.4
"Olson, Matt","621566","2021","673","153","79","35","0","39",16.8,13.1,"0.911","91.6",32.4,12.7,7.8,48.8,"102.889106926","95.968662554",23,47,40.4,30.2
"Alonso, Pete","624413","2021","637","147","80","27","3","37",19.9,9.4,"0.863","91",34.5,14.8,8.2,47.3,"103.709055662","96.163804165",24.9,49.3,39,30.8
"Frazier, Adam","624428","2021","639","176","130","36","5","5",10.8,7.5,"0.779","85.4",38.9,1,4.7,25.2,"94.770636087","91.395336317",12.4,47.6,42.4,20.3
"Soler, Jorge","624585","2021","602","115","61","27","0","27",23.6,11.1,"0.748","91.2",30.9,12.7,7.4,47,"103.589178942","96.139729418",29.2,44.8,41.4,29.6
"Cronenworth, Jake","630105","2021","643","151","90","33","7","21",14,8.6,"0.800","88.6",35.8,7.2,3.9,35,"98.727004664","93.509905895",13.7,43.2,43.1,23.6
"Meadows, Austin","640457","2021","591","121","62","29","3","27",20.6,10,"0.773","89.3",36.1,8.7,7.9,37.9,"99.236473035","93.763605871",24.4,46.7,28.7,36.9
"Anderson, Tim","641313","2021","551","163","115","29","2","17",21.6,4,"0.807","89.6",32.5,7.8,5.9,42.3,"100.468994726","94.526930721",25.9,57.8,56,19.3
"Crawford, J.P.","641487","2021","687","169","123","37","0","9",16.6,8.4,"0.714","86.3",34.3,2.4,3.7,30.6,"97.337774462","92.671236474",15.5,44.2,46.7,17.8
"Dozier, Hunter","641531","2021","543","105","56","27","6","16",28.4,7.9,"0.679","89.9",33,8.8,9.1,42.2,"100.920294588","94.659477906",32.4,48.8,38.3,27.7
"Mancini III, Trey","641820","2021","616","142","87","33","1","21",23.2,8.3,"0.758","88.9",36,10.4,8,42,"101.505868937","94.869304891",29.6,47,49,22.7
"McMahon, Ryan","641857","2021","596","134","78","32","1","23",24.7,9.9,"0.780","90.5",40.2,7.3,9.8,43.5,"100.810510524","94.736908351",29.2,48.8,39.4,28
"O'Neill, Tyler","641933","2021","537","138","76","26","2","34",31.3,7.1,"0.912","93",39.9,17.9,7.2,52.2,"104.172238365","97.016212516",34.7,49.8,36.2,31.4
"Rosario, Amed","642708","2021","588","155","113","25","6","11",20.4,5.3,"0.730","88.8",32,2.8,4.6,43.5,"100.03613414","94.229745093",24.8,48.9,51.4,18.9
"Adames, Willy","642715","2021","555","130","72","32","1","25",28.1,10.3,"0.818","89.5",35.1,11.4,7.6,44.7,"100.71382731","94.667554152",32.6,48.9,37.1,36
"Benintendi, Andrew","643217","2021","538","136","90","27","2","17",18,6.7,"0.766","89.6",38.5,8.9,6.7,43.2,"98.80441545","93.810618421",22.5,52.5,39.5,34.5
"Kiner-Falefa, Isiah","643396","2021","677","172","136","25","3","8",13.3,4.1,"0.669","85.5",31.6,1.8,3.5,28.8,"96.328326447","92.167027033",14.5,46.5,54.4,15.5
"Albies, Ozzie","645277","2021","686","163","86","40","7","30",18.7,6.9,"0.798","89.6",37,9.3,7.3,37.2,"98.68556664","93.56121501",24.9,56.8,31.5,38
"Devers, Rafael","646240","2021","664","165","89","37","1","38",21.5,9.3,"0.890","92.9",35.2,15,7.3,51.8,"104.101831156","96.761008486",27.7,53.6,42.3,26.3
"Urías, Luis","649966","2021","570","122","73","25","1","23",20.4,11.1,"0.790","87.9",34.9,9.3,7.4,40.5,"99.110538783","93.797357825",22.8,46.3,41.8,26.2
"Torres, Gleyber","650402","2021","516","119","88","22","0","9",20.2,9.7,"0.697","87.1",37.1,7.8,5.8,35.7,"98.748265196","93.463817961",26.3,46.7,41.8,26.3
"Díaz, Yandy","650490","2021","541","119","85","20","1","13",15.7,12.8,"0.740","89.9",28.9,7,5.2,40.6,"101.639064531","95.019968229",19.3,42.6,52.1,22.7
"Chapman, Matt","656305","2021","622","111","66","15","3","27",32.5,12.9,"0.717","89.7",32.1,13.7,4.8,41.7,"101.114826012","94.75382",32.7,44.6,33.6,37.8
"Mullins II, Cedric","656775","2021","675","175","103","37","5","30",18.5,8.7,"0.878","89.4",35.7,8.1,4.1,39.4,"99.369452076","93.977727373",20.4,46.3,40.7,27.8
"Smith, Pavin","656976","2021","545","133","91","27","4","11",19.4,7.7,"0.732","87.2",33.6,5.1,8.4,42.7,"100.06822449","94.188626913",17.3,42.1,47.8,22.4
"Verdugo, Alex","657077","2021","604","157","110","32","2","13",15.9,8.4,"0.777","90",34.7,7.1,5.3,43,"100.313736106","94.480309357",17.7,44.7,50.3,21
"Moncada, Yoán","660162","2021","616","137","89","33","1","14",25.5,13.6,"0.787","90.1",40,8.2,6.3,41.2,"100.949227444","94.870101083",28.1,42.6,44.1,20.3
"Ohtani, Shohei","660271","2021","639","138","58","26","8","46",29.6,15,"0.964","93.6",35.4,22.3,6.6,53.6,"105.900177151","97.802022297",35,45.8,39.7,34.6
"Riley, Austin","663586","2021","662","179","112","33","1","33",25.4,7.9,"0.898","90.1",36.5,13.3,8.6,45.6,"102.871134252","95.650249087",28.3,50.2,38.8,24.9
"Mountcastle, Ryan","663624","2021","586","136","79","23","1","33",27.5,7,"0.796","89.1",38.9,11.8,6.1,39.7,"100.499725842","94.394270947",31.6,55.1,35.5,33.9
"Tucker, Kyle","663656","2021","567","149","79","37","3","30",15.9,9.3,"0.916","91.4",42,11.6,11.6,47.5,"100.838759238","95.0535942",20.3,52.5,34,33.5
"India, Jonathan","663697","2021","631","143","86","34","2","21",22.3,11.3,"0.835","87.6",33.6,9.6,5.1,38.6,"99.492120758","93.903783494",25.1,39,44.9,26.3
"Grisham, Trent","663757","2021","527","112","66","28","3","15",22.6,10.2,"0.740","88.8",31,5.2,6,36.8,"99.288052118","93.873059115",21.7,40.5,42,23.3
"Lowe, Nathaniel","663993","2021","642","147","102","24","3","18",25.2,12.5,"0.772","90.8",31.4,9.5,4.5,45.5,"101.920030352","95.281020854",23.5,44.7,54.5,23.4
"Happ, Ian","664023","2021","535","105","59","20","1","25",29.2,11.6,"0.757","89.5",30.8,10.9,5.1,41.3,"100.682785163","94.566082557",32.3,43.9,47.1,28.2
"France, Ty","664034","2021","650","166","115","32","1","18",16.3,7.1,"0.813","88.5",35.9,6.8,5.3,38.9,"99.630842766","93.91855583",19.1,50.3,46.7,21.2
"Lowe, Brandon","664040","2021","615","132","62","31","0","39",27.2,11.1,"0.863","89.3",37.2,14,6.7,43.1,"100.943196413","94.724953913",32.8,52.5,34.8,32.9
"Fletcher, David","664058","2021","665","164","132","27","3","2",9,4.7,"0.621","82.3",30.4,0,1,15.7,"92.661183488","90.514600036",9.5,46.5,49.4,16.2
"Straw, Myles","664702","2021","638","153","119","29","1","4",19,10.5,"0.697","87.1",42.6,1.3,2.9,26.2,"95.725614253","91.886357172",13.5,40.4,41.1,24.6
"Walsh, Jared","665120","2021","585","147","83","34","1","29",26,8.2,"0.849","89.6",33.6,11.3,5,41.3,"101.660333632","94.949250264",26,49.3,49.6,19.7
"Tatis Jr., Fernando","665487","2021","546","135","62","31","0","42",28,11.4,"0.975","93.9",33.1,21.3,7.3,55.6,"105.698422927","97.793088537",34.8,51.5,41,29.8
"Guerrero Jr., Vladimir","665489","2021","698","188","110","29","1","48",15.8,12.3,"1.002","95.1",33.7,15.1,8.9,55.2,"106.811861538","98.446351968",27.8,47.3,45.6,25.2
"Soto, Juan","665742","2021","654","157","106","20","2","29",14.2,22.2,"0.999","93",29.7,13.3,5.3,52.7,"104.58028599","97.062348402",20,35,52.9,20.8
"Chisholm Jr., Jazz","665862","2021","507","115","73","20","4","18",28.6,6.7,"0.728","90.2",29,9,6.5,42,"100.832046938","94.723985799",29.7,47.2,49.4,24.4
"Bichette, Bo","666182","2021","690","191","131","30","1","29",19.9,5.8,"0.827","91.4",33.5,9.9,4.3,47.5,"102.637648103","95.817675415",22.3,57.8,49.3,22.3
"Carlson, Dylan","666185","2021","619","144","91","31","4","18",24.6,9.2,"0.780","88.2",40.6,7,7,31.1,"97.425225408","92.83641898",27.9,45,40.1,31.1
"García, Adolis","666969","2021","622","141","82","26","2","31",31.2,5.1,"0.740","91",29.4,11.5,6.1,45.5,"101.116772974","95.023074923",34.2,54.1,43,30.7
"Gurriel Jr., Lourdes","666971","2021","541","138","87","28","2","21",18.9,5.9,"0.785","89.7",35.8,9.6,7.2,43,"100.4470094","94.556565915",24.2,50.9,45.4,25.2
"Arozarena, Randy","668227","2021","604","145","90","32","3","20",28.1,9.3,"0.815","89.9",29.7,8.2,5.8,42.3,"101.268214833","94.942033565",32.4,44.2,49.2,20.6
"Reynolds, Bryan","668804","2021","646","169","102","35","8","24",18.4,11.6,"0.912","89.4",39.9,10.4,6.8,40.8,"100.899979412","94.776504943",23.9,48.9,39.9,28.6
"Rojas, Josh","668942","2021","550","128","82","32","3","11",24.9,10.5,"0.752","88.2",40.7,4.8,4.6,31.1,"97.144273046","92.673279109",23.5,42.2,49.6,20.8
"Edman, Tommy","669242","2021","691","168","113","41","3","11",13.7,5.5,"0.695","87.5",31.5,4.2,5.8,35.1,"98.07999625","93.108010092",14.9,47.4,46.9,23.7
"Solak, Nick","669256","2021","511","111","80","18","2","11",20.9,6.7,"0.676","86.9",29.3,6.5,4.2,33.5,"98.209109143","93.137323639",24.8,46,54.6,19.7
"Hays, Austin","669720","2021","529","125","73","26","4","22",20.2,5.3,"0.769","88.8",32.2,9.1,5.2,39.2,"99.72384466","93.967000942",24.6,46.4,43.4,26.8
"Lopez, Nicky","670032","2021","565","149","120","21","6","2",13.1,8.7,"0.743","86.8",27.6,0.7,3.9,26.9,"95.857798365","91.988841157",15.4,45.1,58,16.9
"Alvarez, Yordan","670541","2021","598","149","80","35","1","33",24.2,8.4,"0.877","93.2",37.2,15.9,7.6,54.2,"104.437748426","97.123948655",22.7,43.1,38,30.1
"Cruz Jr., Nelson","443558","2022","507","105","79","16","0","10",23.5,9.7,"0.650","90.9",28,9.3,4.5,46.1,"102.29838061","95.468978262",32,50.8,53,19.3
"Blackmon, Charlie","453568","2022","577","140","96","22","6","16",18.9,5.5,"0.733","86.2",36.7,4.4,4,30.6,"97.426435333","92.732128429",21.4,51.5,44.4,23.8
"McCutchen, Andrew","457705","2022","580","122","80","25","0","17",21.4,9.8,"0.700","89.1",36.2,8.6,5.8,40,"99.92693269","94.143160838",24.2,44.9,41.8,28.1
"Turner, Justin","457759","2022","532","130","81","36","0","13",16.7,9.4,"0.788","89.5",40.6,8,6.2,40.6,"99.002545648","93.736858523",20.3,48.2,32.8,33.3
"Andrus, Elvis","462101","2022","577","133","84","32","0","17",15.9,6.8,"0.707","87.9",29.1,4.5,3.6,34.8,"98.336003699","93.236647643",21.4,45.6,46.5,22.1
"Santana, Carlos","467793","2022","506","87","50","18","0","19",17.4,14,"0.692","90.7",31.6,9.3,7.2,44.9,"100.993708488","94.851060233",21.3,42.6,39.1,28.4
"Gurriel, Yuli","493329","2022","584","132","84","40","0","8",12.5,5.1,"0.648","88.2",30.3,1.9,4.4,35.6,"98.291200127","93.270425297",14.3,48.5,41.7,24.6
"Rojas, Miguel","500743","2022","507","111","84","19","2","6",12,5.1,"0.606","86.1",33.1,1.9,5.6,27.1,"96.249960631","92.126001845",15.5,47.9,47.1,19.6
"Escobar, Eduardo","500871","2022","542","119","69","26","4","20",23.8,7.4,"0.725","88.3",38.7,9.4,8.9,37.6,"99.290072903","93.799689784",27.7,52.4,30.9,32.8
"Pham, Tommy","502054","2022","622","131","90","23","1","17",26.8,9,"0.686","92.2",33.2,7.9,8.2,48.5,"102.514437436","95.778101436",26,42,48.2,22.4
"Martinez, J.D.","502110","2022","596","146","86","43","1","16",24.3,8.7,"0.789","89.1",42,12.5,8.9,41.7,"100.92394699","94.707836352",30.1,51.9,38.2,30.8
"Goldschmidt, Paul","502671","2022","651","178","102","41","0","35",21.7,12.1,"0.982","90.8",31.8,11.6,9.9,47.4,"102.244608246","95.440152299",26.8,41.7,40.8,28.8
"Altuve, Jose","514888","2022","604","158","91","39","0","28",14.4,10.9,"0.920","85.9",35.4,7.7,6.6,29.7,"97.300246419","92.671072541",16.2,44.3,41,25.6
"Hernández, César","514917","2022","617","139","106","28","4","1",18.5,7.3,"0.629","84.8",33.3,2.4,4.9,29.7,"96.449267051","92.257329931",20.4,47.5,48.6,19.3
"Marte, Starling","516782","2022","505","136","91","24","5","16",19.2,5.1,"0.815","86.8",38.5,6.8,7,33.9,"99.153544837","93.595179373",24,49.8,50.1,20.1
"Donaldson, Josh","518626","2022","546","106","63","28","0","15",27.1,9.9,"0.682","90.7",34.8,9.8,6.3,43.3,"100.977600417","94.867949761",33.2,47.3,43.5,25.9
"Freeman, Freddie","518692","2022","708","199","129","47","2","21",14.4,11.9,"0.918","91.3",42.9,9.9,8.5,47.8,"100.761588016","95.094269494",19.5,49.3,38.9,28.4
"LeMahieu, DJ","518934","2022","541","122","92","18","0","12",13.1,12.4,"0.734","89.2",32.8,5.3,6.8,41.1,"99.499628485","94.048075494",15.7,39.5,54.6,17
"Rizzo, Anthony","519203","2022","548","104","50","21","1","32",18.4,10.6,"0.818","89.4",34.2,10.9,7.7,41,"99.618112951","94.120579288",22.8,46.1,33.3,35
"Flores, Wilmer","527038","2022","602","120","72","28","1","19",17.1,9.8,"0.710","87.8",35.7,6.3,5.4,35.4,"97.672013814","92.963528089",18.9,45.6,34.7,31.5
"Ozuna, Marcell","542303","2022","507","106","64","19","0","23",24.1,6.1,"0.687","89.4",31.8,13.1,4,43.8,"101.775141886","95.035047714",28.7,49.4,38.4,30.7
"Aguilar, Jesús","542583","2022","507","109","74","19","0","16",23.5,5.5,"0.660","87.7",39.7,6.9,7.7,36,"98.459753543","93.301003066",27,49.5,32.9,30.9
"Cron, C.J.","543068","2022","632","148","88","28","3","29",25.9,6.8,"0.783","88.7",36.8,10.8,5.5,42.3,"101.410198894","94.867484771",24.3,47.7,39.2,27.9
"Semien, Marcus","543760","2022","724","163","101","31","5","26",16.6,7.3,"0.733","87.3",32.4,6.8,6.2,34.9,"97.838624343","93.00847117",20.6,47.2,33.6,34
"Springer III, George","543807","2022","583","137","86","22","4","25",17.2,9.3,"0.814","88.7",31.8,8.4,7.2,42.3,"101.320507081","94.768491799",28.2,50.9,44.3,24.4
"Grichuk, Randal","545341","2022","538","131","88","21","3","19",23.6,4.5,"0.724","90",27.3,6.8,6.6,43.6,"101.601495926","95.066145714",24.7,50.6,50.4,26
"Abreu, José","547989","2022","679","183","128","40","0","15",16.2,9.1,"0.824","92.2",34.5,9.5,7.7,51.8,"102.953606518","96.20270568",23.2,47.3,47.7,24
"Suárez, Eugenio","553993","2022","629","128","71","24","2","31",31.2,11.6,"0.791","89.8",36.4,14.8,7.4,43.5,"100.691818466","94.681885812",33.1,41.8,34.1,39.2
"Urshela, Gio","570482","2022","551","143","100","27","3","13",17.4,7.4,"0.767","88.9",38.6,7,6.6,37.6,"99.120552402","93.736875907",21.4,53.1,41.7,23.8
"Schoop, Jonathan","570731","2022","510","97","62","23","1","11",21,3.7,"0.561","87",29.1,4.8,6.6,38.6,"99.967628556","93.993791257",28.2,55.5,45.2,20.6
"Arenado, Nolan","571448","2022","620","163","90","42","1","30",11.6,8.4,"0.891","88.8",35.4,8.2,7.8,38.9,"99.558566721","93.952810862",19.1,48.4,30.5,29
"Farmer, Kyle","571657","2022","583","134","94","25","1","14",17,5.7,"0.701","85.5",37.7,4.4,6.9,33.8,"97.050252093","92.534027326",19.2,50.3,45.3,23.4
"Muncy, Max","571970","2022","565","91","47","22","1","21",25,15.9,"0.713","90.3",34.3,13.4,10.3,45.6,"100.488456196","94.680756043",26.1,38.6,32.5,39.5
